subj RL_llh B_value Lag_llh B_lag Door_llh B_door 
22356	8.43905347762	0.595463237011	138.629436112	0.0	138.520780377	-0.109693396488	
22357	6.44468043188	1.18144692981	138.629436112	5.55111512313e-17	138.186037867	-0.226311096238	
22363	70.1596950755	0.305563001121	138.629436112	1.11022302463e-16	109.861228867	-43.0976436067	
22364	9.488475643	1.2911234549	138.629436112	0.0	138.603001075	0.0526400089844	
22365	1.38629436112	6.75815134944	138.629436112	4.4408920985e-16	138.520780377	-0.109697811828	
22366	10.9717493635	0.940329737412	138.629436112	2.77555756156e-17	138.602526748	-0.0540695434445	
22367	10.8202907704	100.35952431	138.629436112	0.0	138.395416529	0.154147013933	
22368	38.4257708655	0.391310722885	138.629436112	0.0	138.524581086	0.103990307589	
23478	12.0814095878	0.612743158011	138.629436112	0.0	138.186037867	-0.226312474584	
23479	14.2312508097	0.527742519125	138.629436112	0.0	138.520780377	-0.109693305987	
23480	30.4227477216	0.449523462785	138.629436112	0.0	138.520780377	-0.109694413173	
23481	1.38629436112	3.86483948013	138.629436112	0.0	137.225556352	-0.417730162131	
23482	23.5527246429	0.457346054338	138.629436112	4.4408920985e-16	137.392581387	0.34483901554	
23483	25.3829042429	0.49069321039	138.629436112	0.0	138.395416529	0.15415038603	
23484	7.87484910482	0.840841092135	138.629436112	0.0	138.520780377	-0.109697710488	
23491	10.9241607127	0.803859353633	138.629436112	0.0	138.382554659	-0.167054964576	
23492.1	12.6922194164	0.972764442517	138.629436112	5.55111512313e-17	138.629436112	2.22044604925e-16	
23492	19.4809552422	0.506398692432	138.629436112	1.11022302463e-16	138.395416529	0.154154107473	
23494	1.38629436112	4.0596727592	138.629436112	0.0	137.609891848	-0.351397986899	
23495	5.76478694298	140.054356531	138.629436112	0.0	138.520780377	-0.10970209205	
23496	12.6427706107	0.939642569717	138.629436112	0.0	138.602526748	-0.0540606566141	
23527	19.9201449034	0.562208695009	138.629436112	0.0	138.603001075	0.0526421929298	
23528	17.2502335085	0.559589328901	138.629436112	0.0	138.382554659	-0.167053103022	
23529	15.7599977756	57.7364326306	138.629436112	0.0	138.216640755	0.203228614884	
23530	15.8545063544	0.551770697164	138.629436112	2.22044604925e-16	138.629436112	4.4408920985e-16	
23531	84.0487077492	0.248621658314	138.629436112	0.0	109.861228867	-40.363467729	
23532	3.29138009002	50.2677589102	138.629436112	0.0	136.61195884	0.435320094457	
23533	10.8566997122	1.36246569811	138.629436112	0.0	138.38255466	-0.167059969856	
23534	5.80342214301	2.34408335837	138.629436112	0.0	138.186037867	-0.226315275477	
23535	64.8728041489	0.339784530689	138.629436112	5.55111512313e-17	114.362770014	-3.49650750486	
23536	13.8224309887	0.554002607858	138.629436112	1.11022302463e-16	137.714314361	0.298493880898	
23537	36.0198217442	0.504121743303	138.629436112	0.0	137.989290412	0.251314852106	
23538	30.9084613058	0.458280647965	138.629436112	0.0	138.524581086	0.103988866824	
23539	29.7730540191	0.534172661931	138.629436112	0.0	133.37038053	-0.893817151137	
23540	75.4323195595	0.27768431369	138.629436112	0.0	109.861228867	-42.7573540775	
23541	16.6035217092	0.574467028218	138.629436112	0.0	138.629436112	0.0	
23847	55.3745413506	0.341385435548	138.629436112	0.0	132.428027383	-0.992130733444	
