subj beta phi 
3092 9.56061462305 3.21818235649e-06 
3093 0.0977879331152 7.35115470923e-07 
3094 2.82161536383e-13 0.324464700932 
3095 0.234080006444 0.202907363569 
8120 0.25681039416 2.2968145223e-08 
8121 0.0106654595261 0.999999984257 
8122 0.27671078692 3.06519969806e-08 
3096 0.0683996578488 0.999999987024 
3097 0.0322282343722 3.45721315483e-05 
3098 0.219987839225 1.03038357692e-07 
3099 0.0640614370967 0.709436793353 
3100 0.309251404149 0.407791922574 
3101 1.07582292542 0.00828151343268 
3102 0.025919073039 6.85176189068e-05 
3103 0.0861068706549 7.73352106241e-10 
3104 0.143141361707 0.424012173841 
8123 0.0559482941609 1.20209591121e-05 
8124 0.000623116849695 0.0211267537402 
8125 0.0375206234691 1.59430689849e-06 
8126 0.478160662755 0.265702252031 
8127 2.40419037702 3.30952897581e-06 
8128 0.0629590873404 0.115560432907 
8129 1.43623641198e-12 0.39438954637 
2105 0.298092824203 2.49815048358e-09 
2106 0.264524377714 7.5767205989e-10 
2107 0.345167807814 2.06313414362e-10 
2108 0.192060399958 0.675655680644 
2109 0.101550824331 0.450276869794 
2110 0.0775305799095 0.999999996705 
2111 1.88737914186e-15 0.364068073456 
2112 0.00198026319145 0.999975052363 
2113 0.357702881409 0.513845292537 
2114 0.149177528911 3.36235078621e-09 
2115 0.160026516756 0.175457550751 
2116 2.70312453679e-12 0.835563896413 
2117 0.178998931014 0.836813014898 
