subj RL RL_auto switch switch_prob bias random lag Bev Blag
50139 6.77258872224 8.19722457734 142.01576995 0.499999900312 7.59169341556 277.258872224 8.77258872224 4.58697315633 0.063079796002 
50140 92.5636993374 94.563699431 183.76299975 0.499999990544 100.206516092 277.258872224 93.9353249489 0.445483879864 0.0174504474379 
50141 6.77258872224 8.77258872224 142.015765244 0.499999912195 6.66252997532 277.258872224 8.77258872224 5.93068887529 0.118980935459 
50142 279.807518587 281.808278672 216.721412546 0.499999625459 217.047439384 277.258872224 281.816768893 0.0328756771238 1.62531604639e-08 
4105 280.990912183 276.874471561 272.226089312 0.14141929884 281.653012359 277.258872224 276.82820728 0.0236364555 0.108198904459 
1000 276.198383535 274.854764865 276.627363482 0.181822121737 277.088706843 277.258872224 276.769285526 0.0688945665548 0.0414785405945 
1001 233.862970321 235.862989684 240.890887172 0.499998591159 240.697469087 277.258872224 235.862972981 0.202763860929 7.94005391524e-09 
1002 281.258872224 281.858450967 277.985009035 0.202016491 281.14569304 277.258872224 282.881578342 2.5069297781e-11 0.022730643147 
1003 155.319891505 157.320388375 207.932510199 0.499999728165 157.998637912 277.258872224 157.322490204 0.291138015481 5.42345966288e-09 
1004 279.026246647 264.896921844 265.130330767 0.101007482694 278.557401235 277.258872224 273.147540095 6.86563640111 0.116980682556 
1005 275.889642256 277.88964261 277.257335726 0.313131366677 278.061499733 277.258872224 277.038708036 0.0805300689851 0.0354556999644 
1006 274.320952817 268.220417464 274.725578994 0.161609481613 279.357199595 277.258872224 275.879948317 35.4282059852 0.0244127815616 
1007 227.190265594 219.007123828 277.836274353 0.303028006647 253.831365311 277.258872224 228.880197424 28.9279077597 0.0256942710161 
1008 269.544280838 271.3888079 279.175614817 0.262622404197 270.356715478 277.258872224 267.461653108 0.117200936716 0.0775162360196 
1009 255.626421915 257.626426463 253.983260939 0.484839657319 247.994108422 277.258872224 257.62642393 0.147959021049 1.86098776238e-09 
1010 254.340864002 252.222449972 279.255512829 0.252511817842 251.203179355 277.258872224 250.553462916 0.179606254703 0.0957066308998 
1011 64.9223581278 66.9223584363 170.579656363 0.499999978134 83.3715556939 277.258872224 66.9223583901 0.648921261841 4.23897974861e-09 
1012 280.869591919 282.885205496 278.319547458 0.292922622852 270.524816037 277.258872224 282.997221386 0.0139613665908 8.78519403721e-08 
1013 280.341906591 252.631388939 250.911631154 0.0505086523844 282.234636364 277.258872224 242.168164998 0.0798058188912 0.396994742327 
1014 281.258872224 260.889551795 257.499139903 0.070708542233 273.845920716 277.258872224 281.448272509 34.3011219923 0.0425337575794 
1015 73.4801263882 75.4801317225 161.790832447 0.499999750685 105.246351217 277.258872224 75.4801267487 0.760180560476 4.91995903888e-09 
2010 269.659504244 257.629977527 272.226089309 0.141409347219 277.727360001 277.258872224 260.935965229 31.9673596629 0.144260150318 
2011 281.245982085 246.036819184 242.593352046 0.0302985920176 281.080363277 277.258872224 270.64913128 0.0110363395926 0.156098174273 
2012 258.558297835 251.072936935 277.985009048 0.202026172012 254.945811314 277.258872224 255.037913522 0.161733639773 0.0896712900559 
2013 279.472233536 280.293412915 277.985009041 0.202025001458 279.959803341 277.258872224 275.271270354 0.0544179452019 0.108479088068 
1016 103.571876474 104.457990435 192.55194458 0.49999976968 94.66134304 277.258872224 105.571876503 0.361304853765 2.16506226323e-10 
1018 280.582179477 274.980428949 272.22608929 0.141414431746 282.404977943 277.258872224 268.479967576 0.0361744759254 0.177406485104 
1019 280.645108305 279.646686441 275.747524142 0.17171792683 278.864863822 277.258872224 280.777226382 0.0264281470414 0.0512658203334 
1020 280.527875477 282.52937693 278.319547442 0.292932760573 252.441692342 277.258872224 282.935903617 0.0433727731077 6.97485676618e-09 
1021 16.5453180837 17.2899336575 148.607415713 0.499999969065 28.3804864614 277.258872224 17.9985915856 402.048180945 0.570352792604 
1023 269.40459422 258.223802002 272.226089291 0.141415151657 267.749469072 277.258872224 257.194305191 0.142014663189 0.159786242925 
2014 272.860965351 274.860965372 257.973270334 0.464646913348 274.009633907 277.258872224 274.860965805 0.0803709862869 1.98079391299e-09 
2015 280.598243953 265.23148719 262.840748225 0.0909240252938 281.653012593 277.258872224 264.633020987 0.0451550838835 0.211188406267 
2016 281.23272071 263.809654619 257.499139942 0.0707123362669 282.346864503 277.258872224 274.527520655 0.0143497031718 0.122282023109 
2017 277.621853863 279.624575177 238.693623948 0.499999725628 274.193394033 277.258872224 279.796037473 0.492099135178 6.88374090014e-08 
2018 202.256047788 204.256049646 234.299194013 0.499999478466 214.920918385 277.258872224 203.921459458 0.365253858958 0.0171182916682 
2019 133.23514434 135.024985078 210.129704227 0.499999919891 133.050698622 277.258872224 135.234064971 0.377742729163 0.00085687623866 
2020 255.635106128 257.311014765 277.83627436 0.303025946225 221.800135657 277.258872224 257.636725932 0.128386808961 3.63221755534e-08 
2021 30.4615445 31.7830847465 150.80463254 0.499999989676 25.6480907858 277.258872224 32.4615564114 0.517960375854 1.73053852575e-08 
