subj Pattern_aic cw ccw skip
62021 285.746940441 0.500000033631 0.171850600728 0.187574321074 
62022 259.495546459 0.275000286556 0.500000004957 0.166674687794 
62023 226.942434008 0.29292938165 0.515131366716 0.161640127904 
62024 204.928530021 0.313156807635 0.57574094155 0.080794041108 
62025 291.986490412 0.0878476514232 0.500000047537 0.135146272962 
62026 176.406241826 0.500000106853 0.0106342213162 0.00536447318944 
62027 288.125331681 0.223880783186 0.500000020712 0.111985840171 
62028 260.389116043 0.303288700912 0.500000053124 0.0819893949562 
62029 67.2250517851 0.0202064090357 0.939424335987 0.0201968683308 
50018 271.242976914 0.500000051224 0.228855727903 0.152550094673 
50019 279.193686258 0.217795958043 0.500000000091 0.153206304071 
50020 184.46863551 0.500000753933 0.0108507149208 0.0108617495764 
50117 99.81521586 0.868612000549 0.0303105908913 0.101077397973 
50119 150.162393451 0.787846131871 0.0202006366471 0.111128100439 
50023 299.771097617 0.130157869159 0.500000036672 0.130197188732 
50024 238.697204065 0.50000012447 0.210528219448 0.271916871641 
50025 247.99452419 0.500000095067 0.266660899396 0.208324840764 
50026 269.150270038 0.213067287928 0.500000079235 0.213129323073 
50027 273.412575302 0.500000060505 0.0920977312212 0.0658715083836 
50028 157.126931622 0.00525919979737 0.500038262715 2.16148713606e-07 
50029 83.5854124559 0.898892846209 0.0202550749685 0.0808520614879 
50122 233.438993749 0.0574900559042 0.500000002745 0.0170843693646 
50123 233.28230868 0.0385362135413 0.50000000118 0.0274798655431 
50124 257.423591061 0.0812131748506 0.500000016068 0.0375110829949 
50030 257.751854259 0.137123819759 0.500000026936 0.0564591419566 
50031 207.930352949 0.292891825516 0.585877392333 0.0404105730338 
50032 247.395212625 0.500000034536 0.166688232179 0.326392111997 
50033 220.6783437 0.535341988992 0.272754965814 0.171696178058 
50034 269.138502525 0.242486401828 0.500000044458 0.0454375277076 
50136 287.238232406 0.0920916043561 0.500000083584 0.098718366737 
50137 217.178494896 0.545458984148 0.151521107158 0.282813441802 
50138 266.667762475 0.500000006212 0.270482873093 0.147504514199 
