subj eb_aic eb_Bev eb_Blag ebm_aic ebm_Bev ebm_weight
50139 8.77258872224 14.9805140405 0.0611774063391 8.77258872224 5.56024699088 0.0193902661338 
50140 93.935324942 0.445497062952 0.0391772285541 93.9353249579 0.462922858798 0.0376900575773 
50141 8.77258872224 5.15521503266 0.0268123041869 8.77258872224 7.21368827178 0.0247018327668 
50142 281.807750604 0.0328910948478 4.83906298822e-07 281.817305704 0.0328581063015 1.99255472873e-07 
4105 276.828207279 0.0236358507524 4.57770775841 276.828207282 0.131835607297 0.820708883294 
1000 276.769282049 0.0688893632213 0.602643110012 276.769282143 0.11042223879 0.376041661865 
1001 235.862978801 0.202804280978 3.00709383238e-08 235.864483348 0.202681040645 6.18976079939e-08 
1002 282.881578717 0.0481018194222 0.472594087293 282.881578352 0.0227306404442 0.999999993553 
1003 157.320067925 0.291249616118 1.73979600371e-06 157.320011253 0.291333759463 1.1872597422e-06 
1004 273.150141696 3.66125237195 0.0319702565851 273.146843125 9.25964017559 0.0126146463996 
1005 277.038708031 0.0805289534312 0.440258163077 277.038708041 0.115983348348 0.305658826469 
1006 275.884868699 16.8090095022 0.00143080836875 275.883035993 20.8457157122 0.00116800945313 
1007 228.852101781 40.8057638381 0.000590823974298 228.846601796 45.9955100025 0.000556204066489 
1008 267.461653108 0.11720170593 0.6613962957 267.461653107 0.194720526984 0.398101613113 
1009 257.626425334 0.147965589596 1.41851491996e-07 257.626422879 0.147956230806 4.02970060441e-08 
1010 250.553462899 0.179599711433 0.532857044792 250.553462905 0.275305171855 0.347628073355 
1011 66.9223586004 0.648770585366 1.04189653892e-09 66.9223583681 0.648893967695 3.90055134204e-09 
1012 283.007489751 0.013912330421 0.0222295101032 282.996123003 0.0139133657122 8.05507485021e-06 
1013 242.168164981 0.0798025746288 4.97471901796 242.168165012 0.476801060549 0.832629469373 
1014 281.449123586 5.01984469834 0.00843680005822 281.44896566 5.96647704316 0.00710342009087 
1015 75.4805500716 0.760787551088 6.2102429575e-10 75.4801267809 0.759947442437 2.38450614489e-08 
2010 260.937769448 29.2482370393 0.00492784017868 260.931833282 40.7435060931 0.00353674720675 
2011 270.649131279 0.0110359618424 14.1445029382 270.649131279 0.167134067252 0.933968928824 
2012 255.037913525 0.16173206371 0.554432486392 255.037913533 0.251404771649 0.356670570016 
2013 275.271270346 0.0544158833881 1.99353584155 275.271270351 0.162898483878 0.665955098915 
1016 105.571876611 0.361309203421 2.01292008604e-09 105.571876739 0.361283251749 3.39831544117e-09 
1018 268.479966074 0.0361546593307 4.90554775841 268.479966196 0.213500740488 0.830655073414 
1019 280.777226073 0.0264389808692 1.9385329956 280.777226207 0.0777041305043 0.659656800421 
1020 283.258872224 3.33066907388e-16 0.669001770113 283.258872224 1.43008054415e-13 0.350043873782 
1021 18.0012105375 144.840327256 0.00393445594624 18.0009746531 156.750058859 0.00357044704084 
1023 257.194305142 0.142012416769 1.12514543796 257.194305163 0.301795130265 0.52943805631 
2014 274.860966083 0.0803873412673 1.74682824789e-08 274.860965596 0.0803874328247 7.90755944761e-10 
2015 264.63302026 0.0451550661787 4.67704995308 264.633020662 0.256335145678 0.823862921619 
2016 274.59367203 0.0112850675204 10.7567951825 274.527520653 0.136629737846 0.894972288415 
2017 281.030504945 0.0413116430369 3.30251273462e-06 281.030307928 0.0412756823876 4.11822417627e-12 
2018 203.921459447 0.365260862912 0.0468676501377 203.921459489 0.382390405774 0.0447740485364 
2019 135.2340651 0.377806090842 0.00228835606622 135.234064934 0.378631284731 0.00226735873572 
2020 257.635106286 0.128430078963 4.77306220197e-09 257.635106255 0.128429999989 3.09249598638e-09 
2021 32.4615649014 0.518001695397 6.36804248664e-08 32.4615665372 0.517672773321 2.94849038426e-07 
