subj RL RL_auto switch switch_prob bias random lag Bev Blag
62041 114.90354889 93.8889830934 90.4643472384 2.22044604925e-16 116.703214391 110.90354889 50.1575326602 2.49367058886e-09 1.78448124506 
62042 114.90354889 96.0294016235 90.4643472384 0.0 116.703214369 110.90354889 46.2035682004 7.94114566221e-11 1.90276834809 
62043 114.90354889 105.374739756 97.5683829333 0.0256380986558 116.7032144 110.90354889 59.2293302492 0.0715045439067 1.4941800948 
50018 110.297803537 112.270392382 112.895049864 0.256411062314 111.470732946 110.90354889 108.028097705 0.139766004845 0.158856555159 
50019 114.90354889 93.8889830934 90.4643472384 3.33066907388e-16 116.098128519 110.90354889 89.1650744899 2.2576021553e-10 0.629717210697 
50020 44.6855871545 45.6775654199 83.0075460836 0.499999898133 67.7485326263 110.90354889 41.0726555874 158.280913005 0.616421184815 
50117 114.90354889 93.874943505 90.4643472384 0.0 116.703214301 110.90354889 51.4139696529 1.5935379463 1.73280621145 
50119 114.51213008 107.551812252 105.025444605 0.0769215838601 115.89779377 110.90354889 89.1342839412 0.465725124217 0.693963294008 
50023 114.90354889 101.044306455 97.5683829203 0.025640505176 116.903549051 110.90354889 68.2790606209 9.99636481611e-10 1.16557015479 
50024 114.687812687 100.201028894 97.5683829212 0.0256419461193 116.70321439 110.90354889 99.1009639566 0.161396185635 0.428358536517 
50025 114.787083211 93.3379073248 90.4643472384 2.77555756156e-17 115.424456943 110.90354889 102.237905403 0.074766217789 0.349226846281 
50026 114.630491402 110.594816326 105.025444624 0.0769169856068 115.54886422 110.90354889 102.196747097 26.3532667518 0.404425052151 
50027 99.5572151291 101.55726878 109.47569709 0.384611118719 102.637895238 110.90354889 99.9728564601 0.207542180241 0.0669112490251 
50028 21.8015951588 20.2718003944 69.8242151783 0.499999797537 40.3244051451 110.90354889 23.3193229352 155.005573275 0.361467437104 
50029 114.90354889 93.8424232508 90.4643472384 1.11022302463e-16 116.280197916 110.90354889 81.3456902886 35.6408023842 0.898190221376 
50122 99.4992714991 101.41689846 110.623615081 0.358974678591 99.5286495228 110.90354889 100.393612366 0.22445787452 0.0579435050643 
50123 54.4243128409 54.1209854718 87.4019960369 0.49999985143 67.74853245 110.90354889 51.6463567831 2.79766749442 0.534570699465 
50124 84.2221149486 86.1978436856 102.756916532 0.48716953346 90.146762341 110.90354889 85.9795377371 0.369211984955 0.0360129836056 
50030 95.2409892571 97.2381099094 108.110989355 0.410255254458 100.266253814 110.90354889 89.5112065197 0.343562485989 0.266676283718 
50031 114.90354889 93.8889830934 90.4643472384 1.11022302463e-16 116.903549026 110.90354889 12.3561076607 145.620393576 39.2724554881 
50032 114.90354889 105.37575341 97.5683829308 0.0256383850264 116.703214309 110.90354889 33.6380116115 2.87184484378 2.58462007414 
50033 114.855059659 93.5594477191 90.4643472384 2.77555756156e-17 116.280197923 110.90354889 78.717548964 0.0899791831024 0.870976384616 
50034 114.832541863 116.217274083 111.791743729 0.17948644405 116.502879696 110.90354889 104.451545093 0.118176992353 0.365428240763 
50136 112.474149447 114.474149492 112.695536738 0.282040120867 113.30334177 110.90354889 108.324457943 0.163184963907 0.221838482121 
50137 112.245132452 87.9377711498 90.4643472384 3.33066907388e-16 100.89030841 110.90354889 114.245132483 0.0760233823444 1.54126906665e-10 
50138 114.90354889 105.375753409 101.847192231 0.0512790569859 116.703214371 110.90354889 104.881512609 1.5303368073e-09 0.317553682351 
