subj ebm_aic ebm_Bev ebm_weight ebm_alpha
12312 86.7511095417 1.17479182694 0.247660545787 0.181165294809 
12314 65.228429084 1.7287747415 0.109758436492 0.0386706429356 
12315 111.627826402 0.598055298959 0.135660895901 0.202622856371 
12316 110.07375442 0.526546629453 0.120629725411 0.23884847614 
12317 91.0424192125 1.5911464452 0.283077882976 0.138881528565 
12318 27.4081363594 178.165813432 0.00462415985383 0.00082505534746 
12319 55.6090590717 0.500948409925 1.39769124038e-08 0.311195547176 
12320 38.4406412703 0.615285222355 1.20520688353e-08 0.244381251027 
12329 161.221274036 0.547209344817 0.201305674348 0.0966142105047 
12330 113.958694621 0.93272306087 0.27393541407 0.270719731117 
-1 104.039245007 0.83401849417 0.210743233603 0.134063652074 
12343 131.352180654 0.34852600067 1.72622232455e-11 0.56014941864 
12344 69.333504242 1.35278492845 0.0653203035433 0.0285797359618 
12345 95.2531098093 1.96908537504 0.300995873818 0.137285632655 
12346 32.8931303045 10.143584276 0.0606418969664 0.0128495536705 
12347 31.944246106 47.2003586341 0.0131421963574 0.00264801895564 
12348 58.4023202967 0.535425091277 0.0229070381592 0.182586232688 
12359 34.389707955 0.612629801945 1.43789761207e-09 0.270825360389 
12360 148.686020124 0.47103195038 0.169900958027 0.225613151726 
12361 57.9674516308 7.70929257135 0.08653813859 0.0135808350983 
12362 72.3784148499 9.91211238557 2.11897969068e-07 0.00227809336447 
12363 164.274644128 0.353209791417 0.036710545359 0.105099949506 
12386 91.9437969242 1.67279331853 0.290032857049 0.124565129014 
12387 109.719517095 1.12609558731 0.131678745078 0.0296135717956 
12388 158.119473086 0.782931091661 0.275373554784 0.0564523015228 
12389 18.9329019332 590.468493566 0.00344833302429 0.000817324459936 
12390 72.074141854 0.496913670713 0.0255425473053 0.193136281282 
12391 37.7774908318 0.605602276545 1.99023885652e-08 0.15875724121 
12405 82.8625591194 0.413657503164 1.08127310387e-08 0.252047562571 
12406 12.6691834242 85.0285261905 0.0832149814486 0.0238484611492 
12417 134.600899379 0.788309856744 0.266672851788 0.181256528453 
12418 95.2983450753 1.31107666852 0.283787573322 0.217135246882 
12426 258.960208776 0.118625748522 1.90286984539e-08 0.240041592479 
12427 122.929983267 0.451940952254 0.0539486235041 0.106815390594 
