subj RL_aic RL_alpha RL_Bev
12312 107.256696418 0.36565440438 0.371888762934 
12314 73.865148153 0.171053749421 0.430949831847 
12315 116.91560833 0.367901921742 0.360140776016 
12316 114.317710807 0.322848224772 0.354649302035 
12317 125.580660111 0.340439223538 0.341172433467 
12318 29.4814220488 0.000546920988767 131.589527105 
12319 53.6090581426 0.311168219233 0.500985895423 
12320 36.4406409651 0.244448846688 0.615271027837 
12329 167.446083935 0.109323633449 0.291298039746 
12330 136.784689314 0.412667809918 0.323365715671 
-1 112.033532311 0.27329991411 0.36800026696 
12343 129.352180421 0.560632992924 0.348529788412 
12344 68.0456930981 0.0727870071542 0.569382031954 
12345 134.627640781 0.317457175958 0.337498982921 
12346 33.75542807 0.00393613363446 12.2152661142 
12347 34.9165252782 0.000547133268106 101.349944498 
12348 56.5377366101 0.201021339816 0.483466273143 
12359 32.3897079053 0.270838845278 0.612627838358 
12360 151.116382671 0.265168335677 0.289760657675 
12361 59.6443247133 0.185458975148 0.48643187127 
12362 70.3460584247 0.000487006713457 46.0616173084 
12363 162.513438108 0.115928492549 0.317261926784 
12386 130.11612447 0.21829490976 0.330909269671 
12387 118.170355087 0.0700360635289 0.39752387424 
12388 174.326329652 0.139480665138 0.282543807375 
12389 19.8436561584 0.00063970648529 195.011218655 
12390 70.2739975499 0.216166914342 0.449700826326 
12391 35.7774905656 0.158751473473 0.605604450546 
12405 80.8625586756 0.252037161994 0.413680537355 
12406 18.7181268898 0.00079203036293 197.594505485 
12417 150.738789654 0.387343628815 0.309495798242 
12418 130.544985582 0.360125990823 0.329343578265 
12426 256.960205244 0.240155344957 0.118619413215 
12427 122.223490261 0.128263963971 0.364880315927 
