subj eb_aic eb_Bev eb_Blag ebm_aic ebm_Bev ebm_weight
62021 238.985144141 0.210063557764 1.52206587879 238.985144228 0.52977160924 0.603490962563 
62022 243.999205292 7.50623518308 0.0539643913186 243.999025576 8.45644248238 0.0478710868808 
62023 212.463637599 0.531811442849 1.22180331815 212.4636376 0.802667134537 0.809515386591 
62024 211.428885407 0.0923099613929 7.04096257498 211.428885412 0.742263897196 0.875634963453 
62025 202.688890917 0.309197463912 3.59518665286e-09 202.688812251 0.30859279149 1.41959481891e-08 
62026 82.6674679991 0.628802308373 0.0460137208492 82.6674680354 0.657700876068 0.0439801763724 
62027 275.645726034 0.0856500343222 0.673437436345 275.645726078 0.14333763346 0.402420839383 
62028 272.070901558 10.600476105 0.011414346473 272.069202111 15.3505653523 0.00790500891656 
62029 116.524588687 0.00220898280502 767.334628503 116.524588687 2.87947368664 0.588659142226 
20162 258.624866681 0.236848865978 1.18115406137 258.624866709 0.27974684806 0.999996886192 
20163 219.602542641 0.119052102956 4.89767027305 219.602542659 0.702132556924 0.830442518199 
20164 196.549582045 0.75299688354 1.03291255593 196.549582045 1.53081659007 0.508081893897 
20169 202.046871699 0.112475025141 6.4335396506 202.046871933 0.836063212906 0.865469256123 
62036 213.589133387 0.0357781122857 17.8762371635 213.589127006 0.675375787079 0.947141087573 
62037 261.740580314 20.8321747037 0.0117163635279 261.741852953 18.0188962562 0.0135252591062 
62038 236.157276944 0.170214401583 2.98966261193e-09 236.15727688 0.17021452594 2.8818681832e-10 
62039 106.143803469 0.490581504133 0.00010436927558 106.142959056 0.490465006817 4.21045563562e-07 
62040 193.407700237 0.0587463319733 13.6796324066 193.407700238 0.862370704436 0.931878919883 
1111 165.802023326 226.224218572 0.000657349391971 165.856689036 112.993997009 0.00130155800788 
1112 122.464500851 0.778520157521 0.237518476094 122.464500832 0.963477037568 0.191931901582 
1113 230.281338003 3.83232590748 0.128004318912 230.28166628 3.81162975383 0.128739885626 
1114 245.072311087 0.350226194234 0.779877455386 245.072311091 0.623371119235 0.438165138936 
1115 222.347246087 0.702036198409 0.835305909483 222.347246116 1.71737966984 0.341461241721 
62041 206.99003546 0.133081188035 5.28581331922 206.99003546 0.836518085805 0.840914160411 
62042 110.211654294 0.917485741772 1.95987389274 110.188864176 1.80518405583 0.995578188651 
62043 210.340064631 1.51081846561 0.444444446443 210.34016775 1.78019951091 0.377156180859 
50018 245.11627268 0.171867564325 1.57340208701 245.116273911 0.442367520719 0.611422315601 
50019 273.981872441 0.0488073703254 3.05011716562 273.981873111 0.148884659346 0.999999978746 
50020 41.0657181606 242.238459937 0.00254603515066 41.0734770755 156.657817878 0.00395656549743 
50117 154.59928851 0.0918175457903 13.1182141877 154.599288514 1.29629218972 0.929171461454 
50119 252.945587488 0.0455278767264 6.67701260695 252.945587564 0.304001743554 0.999999992679 
50023 207.92175 106.535704942 0.00110686902342 207.931431566 92.9460554041 0.00126173195011 
50024 238.06174353 0.106081515996 3.71077376871 238.061743536 0.499725589331 0.787719098606 
50025 254.615582579 2.55919453107 0.110093115257 254.615573394 2.87466239766 0.0980134141039 
50026 270.250443742 0.0800084719886 1.81900328797 270.250443754 0.225551074469 0.645268987438 
50027 209.792104684 0.241328662959 0.0788504232717 209.792104591 0.260383745972 0.0730875405657 
50028 23.3196218294 133.926148039 0.00267916634809 23.3195366154 137.806695574 0.00261236702469 
50029 166.200903506 0.00570573276957 190.931416927 166.200903498 1.26740052653 0.859542229214 
50122 105.97698453 45.4919630104 0.000802442876055 105.987588219 29.7322104112 0.00118944904667 
50123 88.2979500642 0.635886442901 0.122604683772 88.2979500367 0.713838158227 0.109217745554 
50124 167.938503331 0.303554840818 4.63153192579e-08 167.938501895 0.303501261161 1.63179806886e-08 
50030 242.928869143 0.180204736604 0.143438734341 242.928869142 0.20605357749 0.125450754046 
50031 204.214768384 1.41461116295 0.559419615099 204.21476838 0.79138393403 0.999999999879 
50032 117.603644185 3.77672466793 0.445057344949 117.603725606 3.85567058687 0.435832845989 
50033 224.354616299 0.0416337750551 12.8244471284 224.354616299 0.575565145215 0.927663982488 
50034 274.540058271 0.0467199203489 2.89064425052 274.540058278 0.181776321217 0.742974557434 
50136 236.671538486 12.0918113107 5.152566476e-06 236.667534114 12.5487242226 1.23704999416e-10 
50137 277.352255451 0.0673577039598 1.76936629439e-09 277.352819095 0.0673381105373 6.66207406594e-09 
50138 256.778037267 0.0285082097529 9.68309229398 256.778037268 0.304554368201 0.90639346514 
