subj RL_aic RL_alpha RL_Bev
62021 267.439463981 0.24619435075 0.106525758847 
62022 280.503588829 0.000107159447604 15.8912579488 
62023 281.258872224 0.88374240271 3.56988941813e-15 
62024 280.783150189 0.999989675454 0.0192029038337 
62025 200.688801171 0.0587070810023 0.308731386803 
62026 81.293608744 0.999999993262 0.538958501088 
62027 275.987632608 0.177121410229 0.0714484650024 
62028 278.061338867 0.00032340748609 9.6879913794 
62029 281.258872224 0.242873710664 5.02375918643e-15 
50018 268.150969009 0.99999687709 0.0965933510747 
50019 281.258872224 0.864671007249 2.96984659087e-15 
50020 44.686450799 0.000421698499596 125.740821336 
50117 281.210629134 0.33899745186 0.00675049651515 
50119 281.258872224 0.524945377804 3.00196950414e-15 
50023 211.365189244 0.000140757248318 70.5657786064 
50024 279.422431421 0.392768739926 0.0397961755761 
50025 281.175980037 0.554022882092 0.00842842881221 
50026 279.613103921 0.999976481779 0.0358993674041 
50027 208.257127891 0.999998207834 0.225019839007 
50028 21.8013865786 0.000614999514558 248.785527608 
50029 281.258872224 0.760350077175 3.60822483003e-16 
50122 104.36739171 0.000300883995566 47.3781428002 
50123 92.5776732382 0.195407857167 0.419912073435 
50124 165.938499842 0.16824009726 0.303536496951 
50030 241.745891619 0.562612202854 0.165290630239 
50031 281.258872224 0.283604054515 2.96984659087e-15 
50032 281.258872224 0.110813389699 5.95357096955e-15 
50033 281.081387243 0.86291587372 0.0119883707152 
50034 280.459141468 0.272366098294 0.0274770388862 
50136 234.620609477 0.000147880226612 44.7095746492 
50137 275.352252324 0.282804497725 0.0673127880322 
50138 281.064561895 0.889685060615 0.0124085325112 
