subj Pattern_aic cw ccw skip
62024 204.928530021 0.313156807635 0.57574094155 0.080794041108 
62028 260.389116043 0.303288700912 0.500000053124 0.0819893949562 
62029 67.2250517851 0.0202064090357 0.939424335987 0.0201968683308 
50117 99.81521586 0.868612000549 0.0303105908913 0.101077397973 
50119 150.162393451 0.787846131871 0.0202006366471 0.111128100439 
50025 247.99452419 0.500000095067 0.266660899396 0.208324840764 
50026 269.150270038 0.213067287928 0.500000079235 0.213129323073 
50029 83.5854124559 0.898892846209 0.0202550749685 0.0808520614879 
50033 220.6783437 0.535341988992 0.272754965814 0.171696178058 
50034 269.138502525 0.242486401828 0.500000044458 0.0454375277076 
50137 217.178494896 0.545458984148 0.151521107158 0.282813441802 
