subj ebm_aic ebm_Bev ebm_weight ebm_alpha
62021 238.98514422 0.529810262431 0.60350431535 0.211292731671 
62022 244.000733304 5.34247021927 0.0758095914309 0.00042935036764 
62023 212.463637622 1.05886804208 0.613638711208 5.2351007886e-11 
62024 211.428885409 0.742262731977 0.875636553042 0.423395316253 
62025 202.688814833 0.308813619287 7.9020904996e-08 0.05868127558 
62026 82.6674680647 0.657714708792 0.0439886768645 0.999999941119 
62027 275.645726068 0.143333344128 0.402452226642 0.176115287734 
62028 272.068892775 16.8287838427 0.00719700643335 0.000291943866763 
62029 116.524588691 1.85224648838 0.915112443686 8.60781383394e-12 
50018 245.116274543 0.442257089082 0.61142798908 0.999999617943 
50019 273.981872872 0.148861792144 0.999999976898 0.139371645347 
50020 41.0646601357 269.694561485 0.00228311290016 0.000364921509358 
50117 154.599288521 1.29631510166 0.929167086555 0.194916981108 
50119 252.945587932 0.777588433164 0.390894215167 3.35631798162e-11 
50023 207.929722729 100.120540327 0.00113516669089 0.000144051177444 
50024 238.061743537 0.499731476551 0.787720884729 0.330103567519 
50025 254.6158063 2.45719207655 0.114650534679 0.00095389785342 
50026 270.250443751 0.225552418047 0.645264529772 0.158786481849 
50027 209.792105409 0.260320292363 0.0729462098683 0.999999922389 
50028 23.3198445235 121.484334555 0.00295118491632 0.00188873333301 
50029 166.200903489 1.08939350718 0.999999999967 0.0929214403333 
50122 105.983639928 33.9647399902 0.00103977186179 0.00046641077068 
50123 88.2979500187 0.713833358803 0.109215590692 0.131593802981 
50124 167.938501967 0.303530048572 3.40275984929e-08 0.168280882131 
50030 242.928869144 0.206051188933 0.125442388907 0.548076990258 
50031 204.214768419 2.09951641579 0.37693027277 3.05682729965e-11 
50032 117.603715115 3.94259976671 0.426334540324 0.00188978082266 
50033 224.354616299 0.575563256697 0.927664109931 0.764605651617 
50034 274.540058273 0.181773589486 0.742975764696 0.275966239199 
50136 236.67735773 10.9289419714 3.4339462004e-08 0.000610517076401 
50137 277.352252576 0.0673048066861 1.89232992719e-09 0.282873212822 
50138 256.778037268 0.304555672887 0.906392647442 0.800743319807 
