subj RL RL_auto switch switch_prob bias random
12312 107.256696427 106.923309294 185.9602294 0.499999968729 111.69093658 277.258872224 
12314 73.8651480226 75.5571392443 170.57973562 0.499999706709 79.0690037367 277.258872224 
12315 116.915608325 117.185041374 190.354691024 0.499999909776 122.35987274 277.258872224 
12316 114.317710836 116.11493328 192.55193372 0.499999820903 117.204480904 277.258872224 
12317 125.580660111 122.79623797 190.354734521 0.499999712061 128.966943813 277.258872224 
12318 29.4817418588 31.316812755 155.199078817 0.499999997471 55.20575626 277.258872224 
12319 53.6090581391 52.1303869964 159.593564817 0.499999886369 64.5768567394 277.258872224 
12320 36.4406409929 38.0897379964 155.199193102 0.499999669066 56.2522522966 277.258872224 
12329 167.446083877 161.697232525 212.326919694 0.499999980383 173.318648928 277.258872224 
12330 136.784689315 132.702426297 194.749156734 0.499999821543 139.828740984 277.258872224 
-1 112.033532303 109.731907827 183.763011058 0.499999944198 117.607190967 277.258872224 
