subj RL RL_auto switch switch_prob bias random
12343 129.35218042 130.237554442 199.143618647 0.499999738492 128.587827039 277.258872224 
12344 68.0456930315 68.9250263222 170.579702421 0.499999820402 92.1149994643 277.258872224 
12345 134.627640791 133.034092004 196.946390004 0.499999769912 144.888305606 277.258872224 
12346 33.755340333 35.6125528503 157.396352893 0.499999851828 56.2522531371 277.258872224 
12347 34.9166167874 36.2115114266 159.593595537 0.499999793839 64.5768545898 277.258872224 
12348 56.5377366147 58.2152677742 163.988027011 0.499999839353 64.57685307 277.258872224 
12359 32.3897079058 34.2695551964 155.199086496 0.499999975405 47.9065982491 277.258872224 
12360 151.116382657 125.48345205 185.960230365 0.499999964641 147.66931658 277.258872224 
12361 59.6443247422 61.4547729763 163.987994502 0.499999942229 71.8336818975 277.258872224 
12362 70.346180364 58.9002584907 161.7907768 0.499999922435 103.658702021 277.258872224 
12363 162.513438178 163.696863215 223.313148657 0.499998911783 174.308627214 277.258872224 
12386 130.116124478 128.588493735 194.7491764 0.499999725141 134.409891008 277.258872224 
12387 118.170354997 118.558232457 192.551927969 0.499999848034 128.966943557 277.258872224 
12388 174.326329662 173.204981291 221.115822444 0.499999933453 181.976832274 277.258872224 
12389 19.8438417849 20.3177910746 150.804640513 0.499999967774 39.5401103432 277.258872224 
12390 70.2739975686 71.2204737345 172.776945997 0.499999748448 78.3894084886 277.258872224 
12391 35.7774905807 37.6622838809 155.199135301 0.49999983516 47.9065984026 277.258872224 
12405 80.8625586817 80.8267537167 172.776913802 0.499999861811 84.4180516094 277.258872224 
12406 18.7183476379 17.1990292795 150.804643121 0.49999996061 39.5401143754 277.258872224 
12417 150.738789656 145.823891938 201.340807962 0.499999922775 154.933050724 277.258872224 
12418 130.544985599 132.118647788 205.735255754 0.49999992355 134.074996729 277.258872224 
12426 256.960205243 160.561275052 192.551903098 0.499999965349 204.134093324 277.258872224 
12427 122.223490232 118.456878666 188.157472678 0.499999885609 138.872259294 277.258872224 
