subj RL RL_auto switch switch_prob bias random lag Bev Blag
12312 107.256696412 106.9233093 185.960238457 0.499999930352 111.690936556 277.258872224 86.7511095495 0.883808706355 0.290932566982 
12314 73.8651480232 75.5571392431 170.579658469 0.499999970922 79.0690042173 277.258872224 65.2284290857 1.5390463448 0.189749053686 
12315 116.915608319 117.18504137 190.354715269 0.499999799571 122.359872564 277.258872224 111.627826408 0.516934059033 0.081137246102 
12316 114.317710822 116.114933279 192.552039043 0.499999324099 117.204480388 277.258872224 110.073754479 0.463029101023 0.0635169728528 
12317 125.580660106 122.796237968 190.354687608 0.499999925304 128.966944525 277.258872224 91.0424192208 1.14076083072 0.450434074159 
12318 29.481492607 31.3185123775 155.199123655 0.499999868626 55.2057560163 277.258872224 27.4126943175 122.483700014 0.820978973469 
12319 53.6090581447 52.1303869932 159.593575825 0.499999853214 64.5768538468 277.258872224 54.8122418348 0.425874399333 -0.0268177812763 
12320 36.4406409787 38.089737996 155.199120355 0.499999878111 56.2522535538 277.258872224 38.3524582492 0.565735271259 -0.0123464833872 
12329 167.446083966 161.69723252 212.326958018 0.499999706641 173.318648794 277.258872224 161.221274223 0.437037265995 0.110155317655 
12330 136.784689316 132.702426303 194.749168929 0.499999761765 139.828740467 277.258872224 113.958694643 0.677179996602 0.255484738084 
-1 112.033532306 109.731907828 183.763032401 0.499999856729 117.607191374 277.258872224 104.039245035 0.65821702681 0.175752390846 
12343 129.352180421 130.237554449 199.143575913 0.499999965803 128.587827316 277.258872224 129.210825756 0.295924806448 -0.0328685080781 
12344 68.0456931345 68.9250263182 170.579782635 0.499999545698 92.1149990308 277.258872224 69.3335042411 1.26441799866 0.0883641073119 
12345 134.627640786 133.034092008 196.9463751 0.499999845953 144.888305582 277.258872224 95.25310981 1.37639719794 0.592686977761 
12346 33.7553120548 35.6125528503 157.396331039 0.499999916105 56.2522521155 277.258872224 32.8931303045 9.52847021919 0.615126998395 
12347 34.9167469717 36.2121663206 159.593555067 0.499999915736 64.5768537669 277.258872224 31.9446958453 30.6712176394 0.621432928685 
12348 56.5377366338 58.2152677723 163.987993239 0.499999946225 64.5768534005 277.258872224 58.4023203353 0.523195275781 0.0122696337278 
12359 32.3897079186 34.2695551966 155.199132029 0.499999844564 47.9065995361 277.258872224 33.4206979594 0.456901198908 -0.0489823877165 
12360 151.116382694 125.483452048 185.960223562 0.499999993466 147.66931609 277.258872224 148.686020221 0.391000830509 0.0800257578393 
12361 59.6443247081 61.454772976 163.98802046 0.499999860084 71.8336834057 277.258872224 61.4542416426 0.443959509079 -0.0143349681883 
12362 70.345230254 58.9014672289 161.790752784 0.499999996558 103.658701418 277.258872224 69.9254614159 15.5515218761 -0.113092033134 
12363 162.51343813 163.69686322 223.313133578 0.499999062565 174.308627371 277.258872224 164.274644128 0.340247654466 0.0129658722422 
12386 130.116124472 128.588493731 194.749152387 0.499999842852 134.409890347 277.258872224 91.943796939 1.18760522847 0.485153440813 
12387 118.170355028 118.558232458 192.551912556 0.499999920734 128.966944252 277.258872224 109.71951709 0.977824745104 0.148284338781 
12388 174.326329643 173.204981301 221.115829383 0.499999869204 181.976831878 277.258872224 158.119473167 0.567315706527 0.215603925244 
12389 19.8441187868 20.3183279578 150.804707895 0.499999782657 39.5401125936 277.258872224 18.943894224 195.830509538 2.01209497988 
12390 70.2739975427 71.2204737346 172.776933493 0.499999792476 78.3894082095 277.258872224 72.0741419046 0.484223799532 0.0126902344825 
12391 35.7774905899 37.6622838799 155.199094701 0.499999951828 47.9065972181 277.258872224 37.524548541 0.509976982861 -0.0248578535925 
12405 80.8625586624 80.8267537142 172.776894312 0.499999930437 84.4180521735 277.258872224 82.4878490231 0.382356483781 -0.0132004040999 
12406 18.7184400842 17.2003999226 150.804689363 0.499999833571 39.540116328 277.258872224 12.6691834227 77.9529368478 7.07565481572 
12417 150.738789653 145.823891936 201.340800698 0.49999996313 154.933050828 277.258872224 134.600899481 0.578076142543 0.210212690132 
12418 130.544985591 132.11864779 205.735325965 0.499999495432 134.074996779 277.258872224 95.2983451045 0.938998033348 0.372063173975 
12426 256.960205253 160.561275057 192.551943378 0.49999977535 204.13409397 277.258872224 205.673244231 0.037399982651 -0.132551289751 
12427 122.22349025 118.456878661 188.157535597 0.499999609649 138.872258839 277.258872224 122.929983127 0.427558922716 0.0243840566357 
